UWI,"Depth subsea, m","MD, m_x","Elev above sea, m","BHT, C",Formation,"Synthetic Temp, C","Static Temp, C","Depth, m","True Temp, C",source,label,"KB Elev, m","TVD, m","MD, m_y","DST BHT, C"
100010107020W500,716.0,1417.0,701.0,48.33,TRmontney,60.97,,,60.97,synthetic,train,701.0,,1417.0,48.33
100010608109W500,1044.4,1690.0,645.6,34.26,Dmuskeg,63.98,,,63.98,synthetic,train,645.6,,1690.0,34.26
100010904012W500,2424.2,3708.0,1283.8,104.4,Melkton,,,,,,not assigned,1283.8,,3602.0,
100011206021W400,171.89999999999998,823.5,651.6,29.0,Dwintrbrn,39.07,,,39.07,synthetic,train,651.6,618.5,618.5,
100011506915W500,936.4,1809.5,873.1,64.0,Dwabamun,69.47,,,69.47,synthetic,train,873.1,,1809.5,64.0
100011804403W500,1065.6,2012.5,946.9,68.0,Mbanff,75.23,,,75.23,synthetic,train,946.9,,1941.5,69.0
100011806718W500,2020.1,2776.5,756.4,93.2,Dswan_hl,94.51,,,94.51,synthetic,train,756.4,,2776.5,93.2
100012306427W500,836.8,1797.0,960.2,48.0,Kdunvegan,67.75,,,67.75,synthetic,train,960.2,,1797.0,48.0
100012404516W502,2333.1,3615.1,1282.0,93.33,Melkton,,,,,,test,1282.0,,2801.4,
100012706026W400,300.9999999999999,951.0999999999999,650.1,23.89,Kellrslie,43.77,,,43.77,synthetic,train,650.1,,737.75,25.56
100012805703W500,533.2,1237.0,703.8,37.0,Kmannvl_L,,,,,,test,703.8,,1237.0,37.0
100012906918W500,714.9,1654.0,939.1,38.89,PRbelloy,71.41,,,71.41,synthetic,train,939.1,,1205.6,40.56
100013603712W500,-267.1500000000001,1039.85,1307.0,26.67,Clynx,,,,,,not assigned,1307.0,1039.85,1043.1999999999998,26.67
100020106719W500,760.9000000000002,1513.8000000000002,752.9,10.0,Kgething,62.82,,,62.82,synthetic,train,752.9,,1513.8000000000002,10.0
100020107808W500,1088.15,1760.25,672.1,20.0,Dgilwood,68.41,,,68.41,synthetic,train,672.1,,1760.25,20.0
100020206322W500,1276.8000000000002,2147.3,870.5,75.56,Kcadomin,82.49,,,82.49,synthetic,train,870.5,,2147.3,75.56
