,GR,NPHI_SS,NPHI_LS,DPHI_SS,DPHI_LS,PEFZ,RHOB,CAL,UWI
0,1.142,,,,,,,7.5523,100010107020W500
1,21.8775,0.1112,,,-0.0926,4.1623,2873.4011,206.7875,100010608109W500
2,42.4504,,0.0576,,-0.0828,,2851.5955,211.8617,100010904012W500
3,28.4555,,0.1593,,0.0709,,2614.1282,202.6417,100011206021W400
4,88.3155,,0.1127,,0.1955,1.8674,2374.4663,207.7325,100011506915W500
5,115.9965,,0.2769,,0.0393,3.2945,2642.8435,221.8772,100011804403W500
6,37.0213,,0.0314,,-0.0165,5.5395,2735.8147,202.3192,100011806718W500
7,19.2035,,0.0241,,0.003,4.4738,2703.8923,223.9442,100012306427W500
8,106.307,,,,,,,6.9436,100012404516W502
9,159.067,,,,,,,,100012706026W400
10,106.4669,,0.2729,,0.1646,,2433.5044,277.4241,100012805703W500
11,135.1434,,,,,,,7.8787,100012906918W500
12,134.211,,,,,,,8.6164,100013603712W500
13,8.5353,,,,,,,8.7312,100020106719W500
14,10.7345,0.1556,,-0.1075,-0.0601,,2.801,7.9095,100020107808W500
15,66.0404,,,,,,,6.9976,100020206322W500
16,,,,,,,,7.8496,100020206419W500
17,79.386,0.1751,0.1463,,0.0275,,2668.3357,218.4256,100020206508W500
18,170.4366,,,,,,,8.0016,100020403021W400
19,128.1795,,,,,,,8.7813,100020605904W500
20,6.4943,,,,,,,8.8932,100020606216W500
21,53.8651,,,,,,,7.8263,100020606512W500
22,102.5153,0.3839,0.333,,0.0817,,2571.4038,246.5575,100020807907W500
23,1.4623,,,,,,,9.9527,100021106720W500
24,16.1919,,0.0665,,-0.0044,,2702.4177,218.842,100021306113W500
25,3.3102,,,,,,,8.6109,100021406411W500
26,9.1686,,,,,,,5.8667,100021406418W500
27,14.4934,,,,,,,,100021503426W400
28,0.6576,,0.0591,,,,,7.8445,100021506315W500
29,26.2768,,,,,,,7.9627,100021506419W500
30,14.0394,,0.0036,,-0.0233,,2734.7485,224.8634,100021506718W500
31,89.0053,0.0747,,,-0.1139,4.706,2904.8,230.8847,100021708007W500
32,113.7889,,,,,,,7.675,100021805706W500
33,4.012,,,,,,,8.9861,100021806218W500
34,162.0369,,,,,,,6.8616,100021806318W500
35,,,,,,,,,100021906119W500
36,75.3967,,0.0989,,0.0218,,2669.2749,227.9907,100022005123W400
37,67.4216,,-0.0273,,0.0603,,2.6275,8.0647,100022006107W600
38,21.0206,,,,,,,203.2011,100022007907W500
39,112.1872,,0.2582,,0.0701,3.224,2591.6587,228.8419,100022008108W500
40,1.0459,,,,,,,9.3719,100022106317W500
41,31.7339,,,,,,,7.9383,100022208108W500
42,0.352,,,,,,,7.393,100022306625W500
43,105.3217,,,,,,,7.9776,100022406617W500
44,26.5836,,,,,,,6.1848,100022706319W500
45,20.8724,,,,,,,7.8583,100022706625W500
46,7.6509,,,,,,,8.8966,100022806320W500
47,,,,,,,,7.8436,100022806419W500
48,123.3297,,,,,,,7.9541,100023008008W500
49,30.5129,,-0.0004,,-0.0199,,2749.1602,228.3779,100023206413W500
50,109.9599,,,,,,,8.6299,100023206414W500
51,65.3746,,,,,,,9.1185,100023303322W400
52,122.1318,,,,,,,,100023306507W500
53,26.605,,0.011,,0.0043,,2821.7734,213.946,100023407808W500
54,13.4597,,0.0299,,0.0532,,2618.9714,214.8587,100023506212W500
55,103.9737,,,,,,,8.6146,100023506213W500
56,145.161,0.0615,0.0268,0.0217,0.0618,2.7757,2612.1658,199.5246,100023608010W500
57,12.4786,,,,,,,216.2384,100030906512W500
58,13.6129,,0.0044,,0.0735,,2602.833,224.0415,100031204517W500
59,27.2961,,0.1155,,0.0114,,2.6905,9.3481,100031305615W500
60,533.2039,,0.1163,,0.113,2.4893,3524.6528,191.0519,100031508009W500
61,184.1587,,,,,,,,100032106921W500
62,128.74,,0.066,,0.0706,,2591.5525,139.8831,100032205219W500
63,174.7685,,0.1342,,0.0176,,2689.6733,216.7968,100032206603W600
64,26.6456,,0.0027,,0.0005,4.814,2709.145,154.6992,100032405416W500
65,13.448,0.1484,0.1076,,0.003,,2.7703,9.2681,100032506117W500
66,21.9761,,0.0072,,0.3146,,2182.2346,346.6871,100032604920W500
67,35.5436,,0.1043,,0.1137,,2516.7087,220.8856,100033006726W500
68,15.0347,,,,,,,8.1493,100033008009W500
69,45.6306,,0.0853,,0.0408,,2.6403,8.4153,100033206015W500
70,27.5967,,0.021,,0.0731,3.5461,2585.0,375.7444,100033206322W500
71,22.3739,,,,,,2.7648,9.0122,100040206609W500
72,0.3062,,,,,,,7.7159,100040207011W500
73,53.5089,,,,,,,7.2997,100040306718W500
