,GR,NPHI_SS,NPHI_LS,DPHI_SS,DPHI_LS,PEFZ,RHOB,CAL,UWI
0,28.919,,,,,,2.7783,6.0281,42013301410000
1,30.2299,,,,,,2.3503,7.0612,42013301930000
2,22.4477,,0.0115,,-0.0093,,2.7198,8.0507,42013302760000
3,38.4679,,0.0444,,0.0308,,2.6534,8.0486,42013305480000
4,25.9448,,,,,,2.7101,7.5611,42013310190000
5,27.7337,,0.0233,,0.0732,,2.5833,8.3771,42013311740000
6,32.9909,0.2267,0.2267,,,,2.6955,8.9342,42013312950000
7,10.3626,,,,,,,9.9499,42013313140000
8,23.1371,,,,,,2.331,6.0592,42013313780000
9,75.3294,,,,,,,0.0284,42013325590000
10,28.8373,,,,,,2.4308,8.0714,42013326640000
11,49.6307,,,,,,2.4269,1.9267,42013332560000
12,30.2304,,0.0612,,0.0513,5.3467,2.6216,8.3211,42013339770000
13,31.9746,,0.0259,,0.0281,4.673,2.6593,8.3065,42013339790000
14,,,0.0299,,0.059,4.6945,2.6091,9.4272,42013340230000
15,28.1109,,0.0752,,0.0367,,2.6472,7.2489,42013340590000
16,9.6336,,,,,,,-0.0233,42013340740000
17,43.7096,,0.1119,,,,2.6871,7.8274,42013342130000
18,54.0741,,0.1125,,0.0085,,2.6622,7.8503,42021301990000
19,11.8758,,-0.0011,,0.0344,,2.6771,8.8184,42025304380000
20,14.5131,,0.0199,,0.078,,2.5766,8.9565,42025324790000
21,,,,,,,,,42041303170000
22,18.3579,,,,,,,10.0084,42041303360000
23,70.8318,,,,,,,9.5555,42041304220000
24,37.172,,,,,,2.731,8.018,42041304470000
25,70.2425,,,,,,,,42041304690000
26,13.2258,,,,,,,8.2345,42041305800000
27,22.3834,,,,,,,,42041305850000
28,45.876,,,,,,,4.603,42041306390000
29,21.3905,,0.0612,,0.0268,,2.6658,8.8099,42041307560000
30,21.1765,,,,,,2.6903,0.1088,42041307630000
31,20.5091,,,,,,,8.8095,42041307950000
32,63.887,,,,,,,8.712,42041308470000
33,14.4683,0.0223,,0.0428,,,2.6379,10.5442,42041308650000
34,20.9555,0.0271,,,,,2.6811,8.2302,42041308840000
35,24.852,0.098,,,,,,8.936,42041309220000
36,17.8202,,,,,,,7.3215,42041309330000
37,22.1541,,,,,,,0.0146,42041309360000
38,15.6304,,,,,,,8.7797,42041309670000
39,29.071,,-0.002,,,,,,42041310960000
40,15.9677,,0.0522,,,,2.6674,8.0819,42041311700000
41,16.4414,,,,,,,8.5115,42041311780000
42,13.1147,,0.0297,,0.0255,,2.6668,8.1862,42041311970000
43,19.416,,,,,,2.721,6.756,42041311980000
44,14.8075,,0.0426,,-0.0212,,2.7471,7.5428,42041312500000
45,37.0835,,0.0771,,,,,7.7889,42041313290000
