UWI,"Depth subsea, m","BHT, C",Formation,"Synthetic Temp, C","Static Temp, C","True Temp, C",source,label,SurfaceLatitude_NAD27,SurfaceLongitude_NAD27,BottomLatitude_NAD27,BottomLongitude_NAD27,"oil total cum, bbl","gas total cum, mcf","water total cum, bbl",gor total average,"gas maximum, mcf","oil maximum, bbl","water maximum, bbl",yield total average,status,"DST BHT, C","Maximum Shut-in Pressure, kPa",GR,NPHI_SS,NPHI_LS,DPHI_SS,DPHI_LS,PEFZ,RHOB,CAL
100010107020W500,716.0,48.33,TRmontney,60.97,,60.97,synthetic,train,55.027981,-116.903553,55.027981,-116.903553,242056.92876624002,7932427.741344998,654396.8664191621,48434116.65466353,110878.62788579095,11710.82957978618,8538.544249281105,6475.228531081626,producing,48.33,12858.7,1.142,0.1265226746205691,0.0562894083975027,0.0594552358196864,0.0797983537123753,3.5873065508351667,30.175646523368528,7.5523
100010608109W500,1044.4,34.26,Dmuskeg,63.98,,63.98,synthetic,train,55.987511,-115.390554,55.987511,-115.390554,3422.286,2722.761,390.597,795.597,1084.16,1639.125,351.6,1256.918,producing,34.26,10782.0,21.8775,0.1112,-0.0013404639108476,-0.0869582549060265,-0.0926,4.1623,2873.4011,206.7875
100010904012W500,2424.2,104.4,Melkton,,,,,not assigned,52.42418,-115.657433,52.42418,-115.657433,241738.8720765101,7577610.188571337,714700.3758082363,48432776.0252404,106540.80753687353,11871.581173515227,9080.041137919317,6485.570342592134,producing,104.4,47675.0,42.4504,0.1499623919736664,0.0576,-0.0948846137617253,-0.0828,4.707042562803008,2851.5955,211.8617
100011206021W400,171.89999999999998,29.0,Dwintrbrn,39.07,,39.07,synthetic,train,54.167413,-113.002674,54.167402,-113.002616,242125.9702773786,8009372.786609832,641061.6107214234,48434407.453106485,111820.51672761039,11675.257464176135,8418.759123805958,6473.009650395218,producing,29.0,5317.0,28.4555,0.2748983847157339,0.1593,0.0511546275019555,0.0709,3.504783519006895,2614.1282,202.6417
100011506915W500,936.4,64.0,Dwabamun,69.47,,69.47,synthetic,train,54.969037,-116.188158,54.969037,-116.188158,242048.35643339495,7922941.356447496,656268.759279524,48434080.739043444,110761.44684318273,11715.843864856073,8555.394081241851,6475.481050786078,producing,64.0,13781.0,5.145089990286365,0.1752446068979376,0.1127,0.20590517392789,0.1955,1.8674,2374.4663,207.7325
100011804403W500,1065.6,68.0,Mbanff,75.23,,75.23,synthetic,train,52.787328,-114.415621,52.787328,-114.415621,242139.21679341147,8024574.941898163,639914.5044383156,48434464.490543306,111999.70122275013,11672.334429267308,8408.68620405161,6472.433872243738,producing,69.0,3778.0,115.9965,0.3735598973142419,0.2769,-4.975389020570042e-05,0.0393,3.2945,2642.8435,221.8772
100011806718W500,2020.1,93.2,Dswan_hl,94.51,,94.51,synthetic,train,54.793867,-116.723113,54.793867,-116.723113,241993.06478457316,7861605.353684391,667864.6055877771,48433848.66173137,110006.14561155843,11746.864943084729,8659.704821077286,6477.16061169094,producing,93.2,19761.0,37.0213,0.1429243663498804,0.0314,-0.037443665786112,-0.0165,5.5395,2735.8147,202.3192
100012306427W500,836.8,48.0,Kdunvegan,67.75,,67.75,synthetic,train,54.547552,-117.96334,54.547552,-117.96334,30698.05,71363.879,6.919,2324.704,47869.031,20140.603,5.032,430.162,producing,48.0,11167.0,19.2035,0.1140038556114943,0.0241,0.0032999647417,0.003,4.4738,2703.8923,223.9442
100012404516W502,2333.1,93.33,Melkton,,,,,test,52.889725,-116.183134,52.889725,-116.183134,242028.4222653036,7901270.758092021,661872.0367164356,48433998.32257058,110487.59844226303,11730.960772194238,8606.013006370426,6475.935329775641,producing,93.33,15844.2,106.307,0.1113181352559775,0.11030233358323,-0.006406486866856,0.0339257874125581,4.391575878373306,-381.7343738878552,6.9436
100012706026W400,300.9999999999999,23.89,Kellrslie,43.77,,43.77,synthetic,train,54.212264,-113.803723,54.212264,-113.803723,242123.42661660752,8006585.931806483,641707.1243196859,48434396.87528563,111785.64814363566,11676.994344447518,8424.58275298929,6473.075004612541,producing,25.56,5584.8,159.067,0.3214343276294718,0.2729428357530372,0.0943319149977991,0.1432912731175042,2.379993351921442,217.0613793374115,44.24135175599285
100012805703W500,533.2,37.0,Kmannvl_L,,,,,test,53.951223,-114.37926,53.951223,-114.37926,242102.71371494228,7983532.271330968,645805.3306282747,48434309.71982218,111502.96966116455,11687.935869320525,8461.411225648899,6473.730313071942,producing,37.0,7841.0,106.4669,0.3565068961357641,0.2729,0.1316743314528617,0.1646,3.515382909640969,2433.5044,277.4241
100012906918W500,714.9,38.89,PRbelloy,71.41,,71.41,synthetic,train,54.998735,-116.70087,54.998735,-116.70087,242113.1733161621,7995305.469424228,644158.5409644429,48434354.104181126,111645.25874696467,11683.579241721742,8446.679930831204,6473.354453289888,producing,40.56,6674.1,52.18129512640384,0.17181238291392,0.1150662953735015,0.0596459431876439,0.0896138459863446,3.335370941649888,-40.00217816322299,7.8787
